id,relato_ocorrencia,natureza_penal,bairro_ficticio,turno,dia_semana,houve_violencia,envolve_menor,valor_prejuizo_reais,gravidade_lesao,meio_empregado,vinculo_partes,necessita_pericia,prioridade_atendimento,procedimento_recomendado,tempo_estimado_resolucao_dias
17,"Relato indica festa com musica alta e aglomeracao em imovel vizinho ate o amanhecer",Perturbacao do Sossego,Setor Eta,Madrugada,Quarta,false,false,0.00,Nenhuma,Som amplificado,Vizinho,false,Baixa,Termo Circunstanciado de Ocorrencia,8
18,"Equipe recebeu noticia de armazenamento de substancias ilicitas em imovel abandonado",Trafico de Drogas,Setor Teta,Noite,Quinta,false,false,0.00,Nenhuma,Substancia ilicita,Desconhecido,false,Alta,Inquerito Policial,100
19,"Comunicante informa desaparecimento de pessoa idosa que saiu para caminhada e nao retornou",Pessoa Desaparecida,Setor Iota,Tarde,Sexta,false,false,0.00,Nenhuma,Nao se aplica,Familiar,false,Alta,Inquerito Policial,25
20,"Vitima relata que companheiro quebrou objetos da casa e fez ameacas durante discussao",Violencia Domestica,Setor Kappa,Noite,Sabado,true,false,600.00,Nenhuma,Objeto domestico,Companheiro,true,Alta,Auto de Prisao em Flagrante,20
21,"Comunicante relata furto de bicicleta presa em suporte externo de predio residencial",Furto,Setor Alfa,Manha,Domingo,false,false,1500.00,Nenhuma,Subtracao sem violencia,Desconhecido,false,Media,Inquerito Policial,40
22,"Vitima informa roubo de relogio mediante grave ameaca em estacionamento de centro comercial",Roubo,Setor Beta,Noite,Segunda,true,false,2500.00,Nenhuma,Grave ameaca,Desconhecido,false,Alta,Inquerito Policial,35
23,"Comunicante relata golpe envolvendo falso comprovante de pagamento por item vendido",Estelionato,Setor Gama,Tarde,Terca,false,false,980.00,Nenhuma,Meio digital,Comprador,false,Media,Inquerito Policial,65
24,"Pessoa informa ameaca verbal proferida por vizinho apos disputa por vaga de garagem",Ameaca,Setor Delta,Noite,Quarta,false,false,0.00,Nenhuma,Presencial,Vizinho,false,Media,Termo Circunstanciado de Ocorrencia,12
25,"Vitima relata empurrao e queda durante conflito em evento local com escoriacoes",Lesao Corporal,Setor Epsilon,Noite,Quinta,true,false,0.00,Leve,Forca fisica,Desconhecido,true,Media,Termo Circunstanciado de Ocorrencia,22
26,"Representante de loja relata porta danificada apos tentativa de arrombamento durante a madrugada",Dano ao Patrimonio,Setor Zeta,Madrugada,Sexta,false,false,5800.00,Nenhuma,Ferramenta de arrombamento,Desconhecido,true,Media,Inquerito Policial,50
27,"Moradora comunica barulho recorrente de obra fora do horario permitido em predio vizinho",Perturbacao do Sossego,Setor Eta,Manha,Sabado,false,false,0.00,Nenhuma,Equipamento de obra,Vizinho,false,Baixa,Termo Circunstanciado de Ocorrencia,9
28,"Denuncia informa transporte de entorpecentes por veiculo em rota urbana ficticia",Trafico de Drogas,Setor Teta,Tarde,Domingo,false,false,0.00,Nenhuma,Veiculo,Desconhecido,false,Alta,Inquerito Policial,95
29,"Responsavel relata que crianca saiu de area comum do condominio e nao foi localizada",Pessoa Desaparecida,Setor Iota,Tarde,Segunda,false,true,0.00,Nenhuma,Nao se aplica,Familiar,false,Alta,Inquerito Policial,20
30,"Vitima relata controle de acesso ao telefone e ameacas psicologicas por companheiro",Violencia Domestica,Setor Kappa,Noite,Terca,false,false,0.00,Nenhuma,Coacao psicologica,Companheiro,false,Alta,Inquerito Policial,45
31,"Comunicante relata subtracao de documentos de dentro de veiculo estacionado sem dano aparente",Furto,Setor Alfa,Tarde,Quarta,false,false,0.00,Nenhuma,Subtracao sem violencia,Desconhecido,false,Baixa,Termo Circunstanciado de Ocorrencia,18
32,"Vitima afirma que tres pessoas cercaram e subtraerram mochila mediante intimidacao",Roubo,Setor Beta,Madrugada,Quinta,true,false,1100.00,Nenhuma,Grave ameaca,Desconhecido,false,Alta,Inquerito Policial,38
33,"Comunicante informa investimento ficticio prometido por mensagem e perda financeira elevada",Estelionato,Setor Gama,Noite,Sexta,false,false,250000.00,Nenhuma,Meio digital,Desconhecido,false,Alta,Inquerito Policial,120
34,"Vitima relata ameaca feita por antigo socio durante discussao sobre encerramento de contrato",Ameaca,Setor Delta,Tarde,Sabado,false,false,0.00,Nenhuma,Presencial,Ex-socio,false,Media,Termo Circunstanciado de Ocorrencia,16
35,"Pessoa relata lesao grave apos agressao com objeto durante conflito em estacionamento",Lesao Corporal,Setor Epsilon,Noite,Domingo,true,false,0.00,Grave,Objeto contundente,Desconhecido,true,Alta,Inquerito Policial,70
36,"Sindico comunica dano a cameras de seguranca do predio com prejuizo material significativo",Dano ao Patrimonio,Setor Zeta,Madrugada,Segunda,false,false,180000.00,Nenhuma,Objeto contundente,Desconhecido,true,Alta,Inquerito Policial,80
37,"Comunicante relata perturbacao por som automotivo em praceta residencial por varias horas",Perturbacao do Sossego,Setor Eta,Noite,Terca,false,false,0.00,Nenhuma,Som automotivo,Desconhecido,false,Baixa,Termo Circunstanciado de Ocorrencia,7
38,"Relato anonimo aponta entrega de pequenas porcoes de droga a estudantes em local ficticio",Trafico de Drogas,Setor Teta,Manha,Quarta,false,true,0.00,Nenhuma,Substancia ilicita,Desconhecido,false,Alta,Inquerito Policial,110
39,"Familiar informa que adulto com historico de desorientacao saiu sem documentos e nao retornou",Pessoa Desaparecida,Setor Iota,Madrugada,Quinta,false,false,0.00,Nenhuma,Nao se aplica,Familiar,false,Alta,Inquerito Policial,28
40,"Vitima relata violencia domestica com lesao moderada e presenca de menor no domicilio",Violencia Domestica,Setor Kappa,Noite,Sexta,true,true,0.00,Moderada,Forca fisica,Companheiro,true,Alta,Auto de Prisao em Flagrante,18
